Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Carlos Castro,Real Sporting de Gijon,22,Forward,59,67,51,74,24,81,59,35,16,13,4,1,0,1,0,6,0,0,0,0,25,2.28,7,0,0,1,0,5,0,0,0,0,25,2.64
Carlos Fernandez,Sevilla Atletico,21,Forward,52,65,30,66,20,70,52,18,13,12,1,0,0,0,0,1,0,0,0,0,3,3.0,0,0,0,0,0,0,0,0,0,0,1,1.0
Carlos Vela,Real Sociedad,28,Forward,81,82,63,81,37,81,80,12,14,10,9,2,0,6,0,19,0,1,0,0,35,3.1142857143000002,5,4,0,5,0,13,0,0,0,0,35,2.8285714286
Cedric Bakambu,Villarreal CF,26,Forward,75,80,66,82,39,82,73,30,13,6,11,1,0,5,0,10,0,0,0,0,26,3.6923076923,12,3,0,4,0,12,0,0,0,0,34,3.5294117647000003
Charles,SD Eibar,33,Forward,60,74,42,85,18,80,55,34,9,11,3,1,0,5,0,4,0,0,0,0,21,2.1428571429,12,3,0,12,0,6,0,0,0,1,35,3.4857142857
Charlie Austin,Southampton,27,Forward,59,66,46,74,47,83,61,31,11,13,6,1,0,1,0,9,0,0,0,0,15,3.8666666667,1,0,0,0,0,2,0,0,0,0,7,2.0
Christian Benteke,Crystal Palace,26,Forward,72,73,48,78,29,76,73,25,5,5,15,2,0,10,0,7,0,2,0,0,36,3.8611111111,9,3,0,2,0,3,0,0,0,0,29,3.2758620689999995
Ciro Immobile,Lazio,27,Forward,70,79,49,80,40,86,62,31,8,6,23,3,0,7,0,6,0,0,0,0,37,5.1351351351,7,2,0,4,0,8,0,1,0,0,22,3.1071428571
Claudio Pizarro,1. FC Koln,38,Forward,75,76,74,78,33,82,78,18,7,14,1,1,0,1,0,8,0,0,0,0,19,1.8947368421000002,14,3,0,3,0,8,0,1,0,0,28,4.25
Connor Wickham,Crystal Palace,24,Forward,62,67,57,70,18,68,60,19,16,12,2,0,0,1,0,2,0,0,0,0,8,2.625,5,3,0,1,0,10,0,0,0,0,21,3.2857142857
Corentin Jean,Toulouse FC,21,Forward,71,75,64,72,29,77,69,20,7,15,1,2,0,2,0,10,0,0,0,0,18,2.4444444444,5,0,0,4,1,8,0,0,0,0,34,2.4117647059
Cristian Tello,Real Betis Balompie,25,Forward,74,82,60,82,26,72,69,20,12,13,4,5,0,1,0,11,0,0,0,0,35,2.5714285714,2,4,0,1,0,9,0,0,0,0,15,3.2666666667000004
Cristiano Ronaldo,Real Madrid CF,32,Forward,83,91,77,93,29,95,85,22,11,11,25,6,0,4,0,5,0,1,0,0,29,6.7241379310000005,35,11,0,2,0,2,0,2,0,0,36,7.6111111111000005
Cyril Thereau,Fiorentina,34,Forward,74,79,58,81,25,80,79,16,5,12,12,2,0,3,0,18,0,1,0,0,33,3.7878787879000004,11,3,0,2,1,11,0,0,0,0,36,3.5833333332999997
Daniel Sturridge,Liverpool,27,Forward,74,80,62,81,22,84,74,15,15,13,3,1,0,1,0,7,0,0,0,0,20,2.2,8,1,0,0,0,5,0,0,0,0,14,4.8571428570999995
Danny Welbeck,Arsenal,26,Forward,76,80,64,78,32,80,72,28,10,16,2,2,0,0,0,6,0,0,0,0,16,2.5,4,2,0,0,0,7,0,0,0,0,11,4.0
Dario Lezcano,FC Ingolstadt 04,27,Forward,69,74,63,75,47,74,78,41,13,9,6,3,0,4,0,14,0,1,0,0,33,2.8181818182,2,1,0,4,0,12,0,0,0,0,17,2.4117647059
David Barral,Cadiz C.F.,34,Forward,59,67,48,68,35,74,58,30,10,15,0,0,0,1,0,0,0,0,0,0,8,1.125,0,0,0,3,0,2,0,0,0,0,14,1.0
Diafra Sakho,West Ham United,27,Forward,62,72,52,73,37,77,56,24,10,16,1,0,0,0,0,2,0,0,0,0,4,2.75,5,1,0,3,0,11,0,0,0,0,21,3.0476190476
Diego Costa,Chelsea,28,Forward,67,77,52,83,40,88,74,28,13,11,20,7,0,10,0,8,0,1,0,0,35,5.1142857143,12,6,0,8,0,6,0,0,0,0,28,4.4642857143
Diego Falcinelli,Sassuolo,26,Forward,64,70,54,71,20,77,58,11,12,14,13,2,0,7,0,5,0,0,0,0,36,3.75,2,1,0,1,0,8,0,0,0,0,26,1.8846153846
Diego Perotti,Roma,28,Forward,82,86,69,87,36,78,84,24,8,8,8,6,0,2,0,13,0,0,0,0,32,3.375,4,9,0,3,1,9,0,0,0,0,31,3.2258064516000005
Diego Rolan,Malaga CF,24,Forward,76,79,62,76,24,82,74,33,7,14,9,0,0,3,1,9,0,0,0,0,29,3.0,7,4,0,4,0,7,0,0,0,0,31,3.0967741935000004
Divock Origi,VfL Wolfsburg,22,Forward,75,77,59,75,28,80,71,30,13,15,7,3,0,0,0,9,0,0,0,0,34,2.7058823529000002,5,1,0,0,0,5,0,0,0,0,16,3.1875
Dominik Stroh-Engel,Karlsruher SC,31,Forward,62,57,42,66,29,70,46,25,15,13,0,0,0,0,0,0,0,0,0,0,5,1.0,0,1,0,0,0,5,0,0,0,0,15,1.6
Duje Cop,Standard de Liege,27,Forward,69,68,57,73,32,80,66,25,12,12,9,3,0,7,0,11,0,1,0,0,31,3.3225806452,7,3,0,3,0,21,0,0,0,0,31,3.1290322581
Duvan Zapata,Sampdoria,26,Forward,64,72,38,76,20,78,47,20,9,8,10,3,0,3,0,12,0,0,0,0,38,3.4473684211,8,2,0,5,0,5,0,0,0,0,25,3.24
Edin Dzeko,Roma,31,Forward,77,76,72,80,50,89,70,11,11,15,29,9,0,4,0,8,0,1,0,0,37,6.378378378400001,8,5,0,4,1,5,0,0,0,0,31,3.2258064516000005
Edinson Cavani,Paris Saint-Germain,30,Forward,78,80,50,80,48,92,77,24,5,10,35,4,0,5,0,13,0,0,0,0,36,7.0277777778,19,5,0,3,0,4,0,1,0,0,32,5.03125
Eduardo Vargas,Tigres U.A.N.L.,27,Forward,72,81,64,78,25,76,73,23,13,10,0,0,0,1,0,0,0,0,0,0,5,0.8,2,3,0,1,0,11,0,0,0,0,23,2.4782608696
Emanuele Giaccherini,Napoli,32,Forward,78,81,70,80,66,80,76,58,11,7,1,0,0,0,0,1,0,0,0,0,16,1.375,7,0,0,7,0,10,0,0,0,0,28,1.4821428571000002
Emiliano Sala,FC Nantes,26,Forward,74,73,64,79,61,79,58,28,11,7,12,4,0,6,0,10,0,1,0,0,34,3.7352941176,6,3,0,3,0,10,0,0,0,0,31,2.8709677419
Emmanuel Riviere,FC Metz,27,Forward,61,67,52,68,24,72,59,29,10,16,0,1,0,3,1,4,0,0,0,0,15,1.3333333333,0,0,0,0,0,1,0,0,0,0,3,1.3333333333
Enzo Crivelli,Angers SCO,22,Forward,73,67,54,72,25,77,64,31,12,9,10,1,0,7,0,8,0,1,0,0,24,3.8333333332999997,3,4,0,8,1,9,0,0,0,0,29,2.0689655172
Erwin Koffi,FC Lorient,22,Forward,66,60,59,59,58,48,48,65,11,12,0,1,0,0,0,2,0,0,0,0,12,2.1666666667,0,0,0,0,0,0,0,0,0,0,1,2.0
Fabian Orellana,Valencia CF,31,Forward,77,85,68,83,31,75,77,18,7,15,3,3,0,6,0,10,0,0,0,0,23,2.6086956521999998,7,6,0,10,0,9,0,0,0,0,33,3.3030303030000003
Fabian Reese,FC Schalke 04,19,Forward,60,60,45,62,38,62,55,27,9,8,0,0,0,0,0,1,0,0,0,0,3,1.3333333333,0,0,0,0,0,0,0,0,0,0,1,1.0
Fabio Borini,Milan,26,Forward,75,77,62,75,30,78,71,13,6,6,2,0,0,5,0,5,0,0,0,0,24,2.0,5,2,0,6,0,11,0,0,0,0,26,2.8076923077
Felipe Caicedo,Lazio,28,Forward,69,72,53,77,43,82,61,42,13,10,2,1,0,5,0,12,0,1,0,0,27,1.7407407407,8,0,0,6,0,14,0,1,0,0,31,2.8709677419
Felix Platte,SV Darmstadt 98,21,Forward,60,64,42,68,22,70,54,18,13,15,2,1,0,1,0,5,0,0,0,0,9,3.0,0,0,0,2,0,0,0,0,0,0,12,0.9166666667
Ferebory Dore,Clermont Foot 63,28,Forward,61,62,55,63,14,59,46,20,11,10,0,0,0,0,0,0,0,0,0,0,9,1.1111111111,0,0,0,2,0,2,0,0,0,0,9,1.5555555556
Fernando Torres,Atletico Madrid,33,Forward,79,82,51,81,20,82,76,17,13,10,8,5,0,3,0,11,0,1,0,0,31,3.0322580644999997,11,4,0,3,0,10,0,0,0,0,30,3.7
Filip Kostic,Hamburger SV,24,Forward,71,83,60,80,32,73,72,29,14,13,4,3,0,5,0,16,0,0,0,0,31,2.7096774194,5,5,0,5,0,10,0,0,0,0,30,3.1666666667000003
Florian Niederlechner,SC Freiburg,26,Forward,68,71,48,68,36,77,63,27,7,16,10,3,0,4,0,19,0,0,0,0,33,3.5454545455,0,0,0,2,0,1,0,0,0,0,12,0.9166666667
Fraizer Campbell,Hull City,29,Forward,62,71,41,69,22,72,57,32,15,16,1,0,0,0,0,0,0,0,0,0,12,1.4166666666999999,0,0,0,1,0,4,0,0,0,0,11,1.2727272726999999
Franco Di Santo,FC Schalke 04,28,Forward,70,75,53,76,38,74,67,22,10,9,0,2,0,2,0,3,0,0,0,0,12,1.5833333333000001,2,1,0,3,0,5,0,0,0,0,25,1.92
Francois Kamano,Girondins de Bordeaux,21,Forward,69,80,55,75,24,72,68,35,12,10,6,5,0,4,0,9,0,0,0,0,30,2.9333333333,3,0,0,2,2,9,0,0,0,0,23,2.0434782609
Gael Kakuta,Amiens SC Football,26,Forward,74,80,64,81,46,67,74,23,12,13,2,1,0,0,0,7,0,0,0,0,10,3.1,0,0,0,1,0,1,0,0,0,0,2,1.0
Gaetan Laborde,Girondins de Bordeaux,23,Forward,70,70,51,72,17,76,63,38,15,9,6,5,0,3,0,8,0,0,0,0,36,2.75,0,0,0,0,0,0,0,0,0,0,1,1.0
Gerard Moreno,RCD Espanyol,25,Forward,75,76,56,79,40,82,58,42,12,10,13,4,0,6,0,4,0,1,0,0,36,3.9166666667000003,7,3,0,4,0,10,0,0,0,0,32,2.84375
Gilles Sunu,Angers SCO,26,Forward,70,74,64,73,36,71,68,29,16,6,0,0,0,1,0,8,0,0,0,0,23,1.3043478260999999,2,2,0,4,0,25,0,0,0,0,32,2.375
Giovanni Sio,Montpellier Herault SC,28,Forward,73,74,67,75,18,74,73,17,9,16,9,1,0,6,0,18,0,0,0,0,34,3.1764705882,7,7,0,10,0,8,0,1,0,0,34,3.1176470588
Gonzalo Higuain,Juventus,29,Forward,75,84,59,85,20,92,70,12,12,10,24,3,0,1,0,7,0,0,0,0,38,5.2105263158,36,2,0,2,0,14,0,0,0,0,35,7.257142857100001
Goran Pandev,Genoa,33,Forward,74,83,65,83,39,79,71,25,14,15,3,0,0,1,1,5,0,0,0,0,20,1.85,0,0,0,0,1,4,0,0,0,0,15,1.4
Guido Carrillo,AS Monaco,26,Forward,62,70,57,74,34,77,59,32,11,12,7,1,0,0,0,1,0,0,0,0,19,3.2631578947000004,4,2,0,2,0,8,0,0,0,1,31,2.1612903225999998
Haris Seferovic,SL Benfica,25,Forward,69,71,59,72,35,77,65,25,13,16,3,0,0,1,1,6,0,0,0,0,25,1.88,3,5,0,10,0,4,0,0,0,0,29,2.5517241379
Harry Kane,Tottenham Hotspur,23,Forward,75,78,67,82,35,89,75,41,10,11,29,7,0,3,0,16,0,1,0,0,30,7.333333333300001,25,2,0,5,0,9,0,0,0,1,38,5.2368421053
Henri Saivet,Newcastle United,26,Forward,78,79,77,78,64,75,78,60,8,11,1,2,0,3,0,12,0,0,0,0,27,2.0740740741,2,0,0,4,0,5,0,0,0,0,22,1.9166666666999999
Iago Aspas,RC Celta de Vigo,29,Forward,80,85,64,84,36,85,68,20,16,13,19,3,0,9,0,9,0,0,0,0,32,4.75,13,4,0,8,0,17,0,0,0,0,35,3.8571428571
Ibai Gomez,Deportivo Alaves,27,Forward,73,81,75,80,45,70,75,45,8,11,5,2,0,2,0,19,0,0,0,0,29,2.7931034482999997,0,0,0,2,0,1,0,0,0,0,5,0.8
Isaac Kiese Thelin,Waasland-Beveren,25,Forward,74,64,59,69,20,70,71,28,16,8,2,2,0,1,0,0,0,0,0,0,7,3.4285714286,0,0,0,0,0,3,0,0,0,0,7,1.4285714286000002
Isaac Success,Watford,21,Forward,68,77,55,79,20,72,61,22,15,10,1,1,0,2,0,1,0,0,0,0,19,1.4210526316,6,2,0,11,0,11,0,0,0,0,30,2.7666666667000004
Ismael Lopez,Real Sporting de Gijon,27,Forward,69,69,61,65,67,70,59,71,13,6,0,3,0,5,0,4,0,1,0,0,27,1.7777777778,2,0,0,8,0,4,0,0,0,0,30,2.0
Ivan Cavaleiro,Wolverhampton Wanderers,23,Forward,68,76,62,76,37,71,68,25,15,13,0,0,0,0,0,1,0,0,0,0,2,1.5,1,0,0,1,0,4,0,0,0,0,12,1.8333333333000001
Jamie Vardy,Leicester City,30,Forward,66,76,48,76,49,84,72,48,14,11,13,5,0,2,1,8,0,0,0,0,35,4.0857142857,24,6,0,6,0,7,0,1,0,0,36,5.6111111111000005
Jason Puncheon,Crystal Palace,31,Forward,75,75,76,74,59,73,74,65,13,12,0,5,0,9,0,6,0,0,0,0,36,2.1388888889,2,4,0,3,0,10,0,0,0,0,31,2.6129032258000002
Javier Hernandez,West Ham United,29,Forward,70,76,55,79,26,87,72,22,12,11,11,2,0,1,0,7,0,2,0,0,26,3.9230769231,17,2,0,6,0,11,0,0,0,0,29,2.9642857143
Jay Rodriguez,West Bromwich Albion,27,Forward,75,77,66,75,44,80,69,16,12,9,5,2,0,0,0,6,0,0,0,0,24,2.6666666667,0,0,0,1,0,3,0,0,0,0,12,1.1666666667
Jean Christophe Bahebeck,FC Utrecht,24,Forward,74,75,55,72,34,65,68,23,9,11,4,1,0,1,0,9,0,0,0,0,16,3.125,1,0,0,2,0,11,0,1,0,0,16,1.75
Jean-Kevin Augustin,RB Leipzig,20,Forward,66,75,53,72,16,79,61,15,6,6,1,2,0,0,0,1,0,0,0,0,10,2.2,1,0,0,1,0,3,0,0,0,0,13,1.6153846154
Jeffrey Schlupp,Crystal Palace,24,Forward,65,74,55,70,65,70,63,68,7,9,0,0,0,0,0,4,0,0,0,0,19,1.6315789474000002,1,2,0,4,0,5,0,0,0,0,24,1.875
Jeremain Lens,Besiktas JK,29,Forward,79,83,63,81,23,71,77,22,16,6,0,0,0,0,0,0,0,0,0,0,2,1.0,3,3,0,4,0,7,0,0,0,0,20,2.7
Jeremy Menez,Antalyaspor,30,Forward,77,86,55,86,34,78,73,16,7,3,3,3,0,4,1,10,0,1,0,0,26,2.2307692308,2,0,0,1,0,1,0,0,0,0,10,2.1
Jermain Defoe,Bournemouth,34,Forward,68,78,43,77,19,87,67,24,14,13,15,2,0,1,0,2,0,0,0,0,37,4.1621621622000005,15,1,0,3,0,5,0,0,0,0,33,4.1212121212
Jhon Cordoba,1. FC Koln,24,Forward,69,74,54,73,49,76,62,28,13,8,5,3,0,8,1,11,0,0,0,0,29,2.7241379310000005,5,2,0,2,0,5,0,0,0,0,22,1.4772727273
John Guidetti,RC Celta de Vigo,25,Forward,70,76,53,83,34,79,60,20,13,11,4,1,0,9,0,13,0,0,0,0,23,2.2173913043,7,0,0,2,0,10,0,0,0,0,35,2.2857142857
Jon Bautista,Real Sociedad,21,Forward,65,67,41,69,16,68,52,15,11,13,3,0,0,0,0,2,0,0,0,0,12,2.4166666667,1,0,0,2,0,1,0,0,0,0,4,2.0
Jonathan Biabiany,Sparta Praha,29,Forward,71,77,54,76,24,72,63,20,5,5,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2,0,3,0,5,0,0,0,0,21,1.7619047619
Jonathan Dos Santos,LA Galaxy,27,Forward,84,80,78,85,65,80,83,52,15,12,2,3,0,4,0,5,0,0,0,0,34,2.0882352941,0,1,0,4,0,11,0,0,0,0,26,1.7307692308000002
Jonathan Leko,Bristol City,18,Forward,53,70,41,63,16,60,53,20,12,9,0,1,0,0,0,1,0,0,0,0,9,1.3333333333,0,1,0,0,0,2,0,0,0,0,5,2.2
Jordan Ayew,Swansea City,25,Forward,74,80,60,78,35,72,70,23,8,8,1,3,0,1,0,3,0,0,0,0,14,2.5714285714,7,0,0,6,1,7,0,0,0,0,30,2.7666666667000004
Jose Callejon,Napoli,30,Forward,75,82,51,84,40,88,78,24,5,11,14,12,0,3,1,7,0,0,0,0,37,4.7027027027,7,7,0,4,0,19,0,0,0,0,38,3.2894736842000003
Joselu,Newcastle United,27,Forward,70,74,49,76,19,78,68,17,11,7,5,1,0,7,0,4,0,0,0,0,20,2.5,4,1,0,0,0,4,0,0,0,0,22,2.5
Joshua King,Bournemouth,25,Forward,68,77,48,74,33,77,56,22,9,7,16,2,0,1,0,13,0,1,0,0,36,4.1666666667,6,2,0,1,0,18,0,0,0,0,31,2.9032258064999996
Josip Drmic,Borussia Monchengladbach,24,Forward,72,74,63,71,35,75,57,27,9,13,0,0,0,0,0,1,0,0,0,0,12,1.1666666667,2,0,0,2,0,5,0,0,0,0,19,1.8947368421000002
Juanmi,Real Sociedad,24,Forward,74,80,53,81,23,83,72,25,6,9,11,0,0,7,0,10,0,0,0,0,35,2.9142857143,0,0,0,0,0,0,0,0,0,0,12,1.0
Julian Schieber,Hertha BSC Berlin,28,Forward,67,64,49,69,21,74,50,22,12,7,3,1,0,3,0,0,0,0,0,0,18,1.9444444444,0,1,0,1,0,0,0,0,0,0,6,1.3333333333
Karim Benzema,Real Madrid CF,29,Forward,86,82,55,86,22,87,85,13,11,7,10,4,0,0,0,17,0,0,0,0,29,3.9310344828,24,7,0,0,0,16,0,0,0,0,27,7.1851851852
Karim Onisiwo,1. FSV Mainz 05,25,Forward,68,76,67,73,47,71,70,42,11,16,1,0,0,4,0,4,0,0,0,0,16,1.6875,1,1,0,1,0,0,0,0,0,0,9,2.1111111111
Kelechi Iheanacho,Leicester City,20,Forward,66,73,58,75,17,79,65,15,7,15,4,3,0,0,0,4,0,0,0,0,20,2.7,8,1,0,1,0,5,0,0,0,0,26,2.8846153846
Kermit Erasmus,Stade Rennais FC,26,Forward,66,69,41,68,24,67,65,31,7,8,0,0,0,0,0,1,0,0,0,0,8,1.125,0,0,0,0,0,0,0,0,0,0,2,1.0
