Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Aissa Mandi,Real Betis Balompie,25,Defender,76,64,73,73,80,67,68,75,16,14,2,1,6,4,0,3,0,0,53,0,26,1.9615384615,5,1,2,3,1,1,0,0,49,0,32,2.375
Alaeddine Yahia,AS Nancy Lorraine,35,Defender,62,41,60,52,65,31,57,72,15,10,1,0,5,7,0,6,0,0,47,1,31,1.9032258065,1,0,7,5,1,2,0,0,34,1,26,2.3076923077
Alassane Plea,OGC Nice,24,Midfielder,76,77,70,77,37,80,77,40,15,15,11,2,0,1,0,12,0,1,0,0,25,4.2,6,4,0,1,0,12,0,0,0,0,19,4.0526315789
Alban Lafont,Toulouse FC,18,Goalkeeper,52,14,38,10,17,4,45,5,77,79,0,0,10,4,0,0,1,0,41,0,36,2.7222222222,0,0,7,0,0,1,0,0,27,0,24,2.7916666667000003
Albano Bizzarri,Udinese,39,Goalkeeper,27,18,26,23,19,10,49,12,76,72,0,0,3,2,0,0,0,0,66,0,29,0.9655172414000001,0,0,11,2,0,0,2,0,43,0,35,2.9428571429000003
Alberto Brignoli,Benevento Calcio,25,Goalkeeper,26,12,22,23,11,11,38,13,72,72,0,0,0,0,0,1,0,0,5,0,2,-0.5,0,0,0,0,0,0,0,0,5,0,1,-2.0
Alberto Gilardino,La Spezia,34,Forward,71,68,41,75,21,83,62,19,12,10,0,0,0,2,0,3,0,0,0,0,17,1.2352941176,10,2,0,4,0,13,0,0,0,0,33,3.3636363636
Alberto Grassi,Ferrara (SPAL),22,Midfielder,74,70,72,76,68,68,68,58,6,8,1,0,0,2,0,3,0,0,0,0,18,1.3888888889,0,0,0,5,0,9,0,0,0,0,13,1.6153846154
Alberto Moreno,Liverpool,24,Defender,74,76,64,79,69,69,58,63,14,11,0,1,0,1,0,0,0,0,18,0,12,1.0833333333,1,5,6,3,0,3,0,0,42,0,32,2.75
Alberto Paloschi,Ferrara (SPAL),27,Forward,66,69,35,76,21,82,59,12,15,5,0,0,0,0,0,1,0,1,0,0,13,1.1538461538,11,2,0,3,0,11,0,2,0,0,31,3.2976190476
Alberto Pelagotti,Brescia,28,Goalkeeper,20,12,13,11,20,11,25,11,68,72,0,0,0,1,0,0,0,0,5,0,3,1.0,0,0,3,0,0,0,0,0,5,0,6,3.6666666667000003
Albin Ekdal,Hamburger SV,27,Midfielder,77,76,77,80,70,72,75,54,5,5,1,1,0,3,0,4,0,0,0,0,21,1.8571428571000002,0,0,0,4,0,5,0,0,0,1,14,1.5
Aldo Kalulu,FC Sochaux-Montbeliard,21,Forward,65,71,39,68,21,63,60,18,6,11,1,1,0,1,0,6,0,0,0,0,14,1.9285714286000002,2,0,0,0,0,1,0,0,0,0,10,2.1
Aleandro Rosi,Genoa,30,Midfielder,66,68,66,68,65,62,55,62,12,7,1,1,0,11,0,4,0,0,0,0,31,1.8709677419,0,0,0,6,0,4,0,0,0,0,27,1.6666666666999999
Aleix Vidal,FC Barcelona,27,Defender,78,81,64,82,73,66,70,68,7,12,2,2,3,0,0,0,0,0,3,0,6,6.666666666699999,0,1,1,1,0,2,0,0,5,0,8,2.875
Alejandro Arribas,RC Deportivo de La Coruna,28,Defender,70,48,58,68,77,26,40,74,15,16,0,1,7,7,0,0,0,0,34,0,23,2.1304347826,2,0,5,10,0,2,0,0,47,1,31,1.8709677419
Alejandro Bergantinos,Real Sporting de Gijon,32,Midfielder,71,58,69,67,79,56,70,70,10,13,1,0,0,1,0,1,0,0,0,0,8,2.25,2,1,0,3,0,3,0,0,0,0,22,2.3636363636
Alejandro Dario Gomez,Atalanta,29,Midfielder,82,89,72,87,40,81,85,24,11,6,16,10,0,6,0,19,0,0,0,0,37,4.8108108108,7,7,0,4,1,16,0,0,0,0,34,3.4117647058999996
Aleksandar Kolarov,Roma,31,Defender,73,78,77,75,80,69,76,74,15,6,1,1,8,6,0,0,0,0,28,1,29,2.7931034482999997,3,4,10,3,0,2,0,1,33,0,29,3.6206896551999996
Aleksandar Tonev,Crotone,27,Midfielder,65,71,64,66,43,52,62,32,7,14,1,0,0,2,0,7,0,0,0,0,13,1.9230769231,0,1,0,2,0,6,0,0,0,0,22,1.5454545455000002
Aleksandar Trajkovski,Palermo,24,Forward,69,71,67,72,25,64,67,16,12,12,1,0,0,1,0,4,0,0,0,0,11,1.8181818182,3,1,0,2,0,10,0,0,0,0,32,2.0
Alen Halilovic,UD Las Palmas,21,Midfielder,80,81,71,80,55,71,80,26,11,10,0,2,0,2,0,6,0,0,0,0,24,1.3611111111,3,5,0,6,0,9,0,0,0,0,36,2.3333333333
Alessandro Florenzi,Roma,26,Midfielder,82,79,75,84,77,82,75,73,8,10,0,4,0,3,0,3,0,0,0,0,9,2.8888888889,7,3,0,4,0,9,0,0,0,0,33,3.1515151515
Alessandro Gamberini,Chievo Verona,35,Defender,50,54,54,55,83,31,26,83,7,15,1,0,6,1,0,5,0,0,32,0,20,2.5,0,1,6,1,0,5,0,0,24,1,22,2.7272727273000004
Alessandro Matri,Sassuolo,32,Forward,67,68,45,74,25,84,60,16,4,4,8,0,0,1,0,14,0,0,0,0,31,2.7741935483999995,4,3,0,1,1,7,0,0,0,0,19,2.6842105263
Alessandro Schopf,FC Schalke 04,23,Midfielder,75,80,62,79,58,74,65,52,6,10,6,2,0,4,0,5,0,0,0,0,28,2.9285714286,3,1,0,1,0,4,0,0,0,0,13,2.6923076923
Alessio Cerci,Hellas Verona,29,Midfielder,75,79,67,80,41,71,68,24,14,9,0,0,0,0,0,0,0,0,0,0,1,1.0,4,2,0,1,0,12,0,0,0,0,23,2.6956521738999997
Alessio Romagnoli,Milan,22,Defender,67,63,67,65,82,26,40,82,14,9,1,1,9,5,0,1,0,0,27,0,27,3.1481481481,0,0,10,9,0,0,0,0,37,0,34,2.5
Alex Ferrari,Hellas Verona,23,Defender,58,60,56,60,66,32,32,68,11,6,0,0,0,0,0,0,0,0,3,0,1,0.0,0,0,2,6,0,3,0,0,20,0,21,1.9523809524000002
Alex Iwobi,Arsenal,21,Forward,80,83,57,83,24,68,75,29,7,11,3,3,0,1,0,14,0,0,0,0,26,2.5769230769,2,2,0,0,0,7,0,0,0,0,13,2.8461538462
Alex Oxlade-Chamberlain,Liverpool,23,Midfielder,78,85,73,82,51,74,72,52,9,9,2,7,0,1,0,11,0,0,0,0,29,2.5862068966,1,0,0,0,0,8,0,0,0,0,22,1.6363636363999998
Alex Sandro,Juventus,26,Defender,81,82,71,81,82,70,70,78,7,5,3,4,12,5,0,0,0,0,20,0,27,4.3333333333,2,3,9,6,0,0,0,0,11,0,22,4.1818181818
Alexander Djiku,SM Caen,22,Midfielder,64,67,59,69,75,55,55,72,7,11,1,0,0,2,2,1,0,0,0,0,23,1.7826086957,0,0,0,6,1,3,0,0,0,0,20,1.5
Alexander Esswein,Hertha BSC Berlin,27,Forward,68,74,62,72,28,70,59,18,16,11,2,3,0,4,0,14,0,0,0,0,29,2.0344827586000003,3,1,0,1,0,16,0,0,0,0,28,2.3571428571
Alexander Hack,1. FSV Mainz 05,23,Defender,74,59,75,65,69,32,53,67,6,8,0,1,3,1,0,1,0,0,25,0,15,1.9333333333000002,0,0,1,1,0,0,0,0,9,0,7,2.0
Alexander Meier,Eintracht Frankfurt,34,Midfielder,69,72,54,77,50,85,77,30,6,9,5,2,0,1,0,7,0,2,0,0,21,2.9523809524,12,1,0,1,0,1,0,0,0,0,19,5.2631578947
Alexandre Lacazette,Arsenal,26,Forward,79,85,59,84,40,87,74,23,6,6,28,3,0,3,0,7,0,2,0,0,30,6.666666666699999,21,3,0,5,0,6,0,1,0,0,34,5.1470588235
Alexandre Letellier,Angers SCO,26,Goalkeeper,26,10,21,16,23,14,12,14,74,81,0,0,1,0,0,0,0,0,9,0,6,2.0,0,0,6,1,0,0,0,0,23,0,17,2.6470588235
Alexandre Mendy,Girondins de Bordeaux,23,Forward,65,62,40,68,29,72,52,16,12,9,3,0,0,2,0,2,0,0,0,0,21,1.8571428571000002,1,0,0,0,0,2,0,0,0,0,16,1.5625
Alexis,Deportivo Alaves,31,Defender,75,48,63,63,72,53,48,76,8,13,2,1,4,10,0,0,0,0,30,1,24,2.1666666667,1,0,5,7,0,0,0,0,25,0,15,2.2
Alexis Blin,Toulouse FC,20,Midfielder,71,64,64,66,72,62,68,74,6,8,0,0,0,5,0,4,0,0,0,0,26,1.8076923077,0,0,0,5,0,2,0,0,0,0,24,1.4166666666999999
Alexis Sanchez,Arsenal,28,Forward,81,90,73,87,42,86,83,30,10,13,24,11,0,6,0,8,0,1,0,0,38,5.7631578947,13,5,0,1,0,12,0,0,0,0,30,4.5666666667
Alfred Duncan,Sassuolo,24,Midfielder,79,71,74,77,78,68,67,68,8,8,1,0,0,4,0,3,0,0,0,0,20,1.75,1,6,0,5,0,7,0,0,0,0,33,2.3636363636
Alfredo Morales,FC Ingolstadt 04,27,Midfielder,74,68,70,73,70,62,73,63,13,12,1,0,0,5,0,9,0,0,0,0,27,1.7407407407,1,1,0,7,0,4,0,0,0,0,24,1.7916666666999999
Allan Nyom,West Bromwich Albion,29,Defender,65,68,64,72,75,51,54,77,8,14,0,2,4,8,0,3,0,0,43,0,32,1.875,0,1,9,8,0,9,0,0,40,0,32,2.375
Allan Saint-Maximin,OGC Nice,20,Forward,68,84,58,79,15,70,65,23,9,7,3,3,0,1,1,12,0,0,0,0,33,2.4848484848,1,0,0,1,0,1,0,0,0,0,16,1.3125
Almamy Toure,AS Monaco,21,Defender,70,71,55,71,72,60,56,72,15,12,0,5,6,0,0,2,0,0,12,0,15,4.2,3,2,2,3,0,2,0,0,17,0,10,3.6
Almog Cohen,FC Ingolstadt 04,28,Midfielder,71,63,65,72,74,61,61,75,13,7,7,1,0,2,0,8,0,0,0,0,31,3.0967741935000004,0,2,0,2,0,6,0,0,0,0,20,1.6
Alphonse Areola,Paris Saint-Germain,24,Goalkeeper,41,12,32,22,23,17,34,19,78,84,0,0,6,0,0,0,0,0,14,0,15,3.2,0,0,15,1,0,0,1,0,26,0,32,3.71875
Amadou Diawara,Napoli,19,Midfielder,82,76,76,80,76,54,78,60,14,11,0,0,0,1,0,2,0,0,0,0,18,1.5,0,1,0,11,0,4,0,0,0,0,34,1.6764705882
Anaitz Arbilla,SD Eibar,30,Defender,73,65,65,73,76,57,57,73,8,9,0,2,4,5,0,4,0,0,27,0,22,2.2727272727,0,0,2,3,0,0,0,0,15,0,7,1.2857142857
Ander Herrera,Manchester United,27,Midfielder,86,81,80,86,86,78,84,80,12,8,1,6,0,6,0,5,0,0,0,0,31,2.4193548387,3,2,0,4,0,11,0,0,0,0,27,2.2592592593000003
Andre Ayew,West Ham United,27,Forward,77,78,71,79,52,79,75,49,6,15,6,3,0,1,0,11,0,0,0,0,25,3.16,12,4,0,5,0,15,0,0,0,0,34,3.9705882352999997
Andre Gomes,FC Barcelona,23,Midfielder,84,81,83,80,76,77,83,65,9,8,3,1,0,3,0,12,0,0,0,0,30,2.0666666666999998,2,3,0,10,0,7,0,0,0,0,30,2.2
Andre Hahn,Hamburger SV,26,Midfielder,71,68,54,64,50,77,70,46,14,11,3,1,0,3,0,9,0,1,0,0,31,2.0322580644999997,8,1,0,1,0,2,0,0,0,0,15,4.2666666667
Andre Ramalho,Bayer 04 Leverkusen,25,Defender,74,62,72,68,78,59,66,69,12,15,0,0,2,4,0,4,0,0,29,0,18,1.2222222222,0,0,5,5,0,0,0,0,24,0,19,1.8947368421000002
Andre Zambo Anguissa,Olympique de Marseille,21,Forward,70,72,69,68,72,63,68,62,11,11,0,1,0,3,0,3,0,0,0,0,33,1.5454545455000002,0,0,0,0,0,1,0,0,0,0,9,1.2222222222
Andrea Barzagli,Juventus,36,Defender,65,64,65,65,92,28,62,90,2,4,0,0,9,2,0,3,0,0,12,0,22,3.5,1,0,18,2,0,2,0,0,15,0,31,4.3548387097
Andrea Belotti,Torino,23,Forward,68,78,42,78,31,85,61,15,7,7,26,7,0,5,0,1,0,3,0,0,35,5.9714285714,12,4,0,4,0,11,0,0,0,0,35,3.8285714286
Andrea Bertolacci,Genoa,26,Midfielder,80,79,76,79,70,76,76,60,8,9,1,0,0,3,0,6,0,0,0,0,15,1.7333333333,1,1,0,6,0,7,0,0,0,0,27,1.8518518519
Andrea Coda,Pescara,32,Defender,49,43,49,49,70,30,29,69,9,6,0,0,0,8,0,6,0,0,32,0,13,-0.0769230769,0,0,0,1,0,1,0,0,7,0,4,0.75
Andrea Consigli,Sassuolo,30,Goalkeeper,31,10,27,23,15,10,46,12,83,84,0,0,7,1,0,0,2,0,58,1,37,2.1621621622,0,0,10,2,1,0,2,0,40,1,38,2.7631578947000004
Andrea Conti,Milan,23,Defender,75,71,68,75,73,73,63,68,13,10,8,5,11,12,0,8,0,0,37,0,33,4.2424242424,2,0,2,2,0,5,0,0,18,0,14,2.5714285714
Andrea Costa,Benevento Calcio,31,Defender,58,58,54,62,78,35,34,76,9,13,2,1,7,6,0,3,0,0,39,1,26,2.5,1,0,10,4,0,0,0,0,22,0,24,3.3333333332999997
Andrea Masiello,Atalanta,31,Defender,66,54,63,60,80,31,26,79,7,12,3,1,13,9,0,4,0,0,29,0,35,3.6,0,1,7,7,0,4,0,0,37,0,29,2.275862069
Andrea Poli,Bologna,27,Midfielder,80,78,74,79,66,66,78,56,5,5,0,0,0,0,0,2,0,0,0,0,13,1.2307692308,0,1,0,1,0,3,0,0,0,0,18,1.3333333333
Andrea Raggi,AS Monaco,33,Defender,71,61,66,70,75,56,54,78,10,16,0,0,4,0,0,3,0,0,14,0,14,2.7857142857,2,1,12,5,0,1,0,0,42,0,31,3.0322580644999997
Andrea Ranocchia,Inter,29,Defender,67,58,65,67,79,24,60,76,15,15,2,2,3,4,0,2,0,0,41,0,21,1.7875,0,0,5,6,0,0,0,0,26,0,23,2.0869565217
Andrea Rispoli,Palermo,28,Defender,68,69,68,73,68,59,57,64,10,12,5,3,4,5,0,4,0,0,67,0,33,2.1515151515,0,4,5,3,0,5,0,0,33,0,22,2.4090909091
Andrea Seculin,Chievo Verona,26,Goalkeeper,29,12,25,21,10,11,43,13,67,79,0,0,0,0,0,0,0,0,8,0,3,0.3333333333,0,0,1,0,0,0,0,0,2,0,3,3.3333333332999997
Andreas Christensen,Chelsea,21,Defender,76,68,72,72,82,32,62,83,12,8,2,0,9,1,0,1,0,0,44,0,31,2.7419354839,3,1,7,1,0,0,0,0,43,1,31,2.7419354839
Andreas Pereira,Valencia CF,21,Midfielder,77,82,77,83,65,69,75,68,14,7,5,3,0,10,1,11,0,0,0,0,35,2.5714285714,0,0,0,2,0,0,0,0,0,0,4,0.5
Andrej Kramaric,TSG 1899 Hoffenheim,26,Forward,79,86,53,84,21,84,66,20,14,15,15,8,0,1,0,15,0,0,0,0,34,4.7058823529,5,2,0,1,0,3,0,1,0,0,17,2.3333333333
Andres Fernandez,Villarreal CF,30,Goalkeeper,35,14,40,18,26,14,41,11,71,79,0,0,5,2,0,0,0,0,18,0,15,2.6,0,0,4,6,1,0,0,0,67,0,37,1.2702702703
Andrew Surman,Bournemouth,30,Midfielder,82,72,76,74,65,65,76,62,14,8,0,1,0,2,0,3,0,0,0,0,22,2.0,0,3,0,4,0,0,0,0,0,0,38,2.1315789474
Andros Townsend,Crystal Palace,25,Midfielder,75,82,67,79,21,70,71,39,11,13,3,4,0,4,0,15,0,0,0,0,36,2.4722222222,4,2,0,0,0,3,0,0,0,0,16,3.375
Andy Carroll,West Ham United,28,Forward,65,67,57,74,45,76,65,42,14,6,7,1,0,3,0,6,0,0,0,0,18,3.7777777778,9,2,0,2,0,5,0,0,0,0,27,3.2962962963
Andy Delort,Toulouse FC,25,Forward,73,73,55,73,23,74,68,20,14,11,5,0,0,0,0,9,0,1,0,0,15,3.5333333333,12,2,0,5,0,4,0,1,0,0,36,3.5833333332999997
Andy King,Leicester City,28,Midfielder,74,69,69,73,67,72,69,68,6,6,1,0,0,4,0,5,0,0,0,0,23,1.6956521739,2,1,0,2,0,1,0,0,0,0,25,1.8
Angel Correa,Atletico Madrid,22,Forward,68,87,56,85,45,79,69,46,10,16,4,8,0,5,0,7,0,0,0,0,32,2.5625,5,4,0,7,0,7,0,0,0,0,26,2.4615384615
Angel Di Maria,Paris Saint-Germain,29,Midfielder,83,86,79,85,38,82,81,37,7,11,6,7,0,1,1,13,0,0,0,0,29,3.4482758620999996,10,18,0,0,0,14,0,0,0,0,29,5.4827586207
Angel Rangel,Swansea City,34,Defender,70,73,71,75,82,65,71,78,16,6,1,0,1,1,0,1,0,0,39,0,18,0.7222222222,0,0,4,6,0,4,0,0,33,0,23,1.7391304347999998
Angelo Obinze Ogbonna,West Ham United,29,Defender,68,61,67,59,82,30,50,80,3,4,0,0,4,2,0,1,0,0,31,0,20,2.0,0,0,9,5,0,2,0,0,35,0,28,2.5357142857
Ante Rebic,Eintracht Frankfurt,23,Forward,68,75,57,75,29,69,64,20,15,14,2,2,0,10,0,9,0,0,0,0,24,1.9166666666999999,1,0,0,3,0,6,0,0,0,0,14,1.7857142857
Anthony Lopes,Olympique Lyonnais,26,Goalkeeper,32,15,31,21,25,9,45,13,79,85,0,1,13,0,0,0,1,0,46,0,37,3.027027027,0,0,13,2,0,0,0,0,43,0,37,2.8378378377999995
Anthony Martial,Manchester United,21,Midfielder,75,88,58,84,42,80,72,35,8,11,4,6,0,2,0,11,0,0,0,0,25,3.16,11,5,0,2,0,3,0,0,0,0,34,3.3494623656
Anthony Walongwa,FC Nantes,23,Defender,53,27,48,57,65,39,29,67,16,15,0,0,0,1,0,1,0,0,4,0,3,1.6666666666999999,0,0,0,0,0,0,0,0,2,0,1,1.0
Antoine Griezmann,Atletico Madrid,26,Forward,79,87,75,86,35,91,76,23,8,14,16,8,0,3,0,14,0,2,0,0,36,4.6944444444,22,5,0,5,0,16,0,1,0,0,38,5.0526315789
Antonio Adan,Real Betis Balompie,30,Goalkeeper,34,12,43,15,20,11,35,11,83,82,0,0,10,5,0,0,1,0,62,0,37,2.1351351351,0,0,12,6,0,1,0,0,50,0,36,2.4444444444
Antonio Candreva,Inter,30,Midfielder,77,82,70,84,59,79,74,54,4,14,6,10,0,2,0,18,0,1,0,0,38,3.4210526316000003,10,2,0,4,0,17,0,2,0,0,30,3.5333333333
Antonio Floro Flores,Bari,34,Forward,68,73,56,75,26,78,68,20,10,7,0,1,0,0,0,6,0,0,0,0,12,1.75,4,2,0,2,0,15,0,0,0,0,28,2.4285714286
Antonio Mirante,Bologna,33,Goalkeeper,35,15,35,21,17,10,43,18,80,82,0,0,8,0,0,1,1,0,33,0,21,2.8095238095,0,0,12,2,0,0,1,0,41,0,33,2.9393939394
Antonio Rudiger,Chelsea,24,Defender,70,59,65,68,79,33,57,82,15,8,0,2,9,7,1,2,0,0,25,0,26,2.9615384614999996,2,0,8,4,0,0,0,0,30,0,30,2.9666666667
Antonio Rukavina,Villarreal CF,33,Defender,73,65,70,71,80,66,59,76,6,7,0,0,1,2,0,0,0,0,2,0,4,2.75,0,0,7,5,0,0,0,0,19,0,18,2.7222222222
Antonio Sanabria,Real Betis Balompie,21,Forward,71,82,56,83,21,80,72,21,14,13,3,1,0,2,0,6,0,0,0,0,22,2.4545454545,11,1,0,4,0,14,0,0,0,0,29,3.7931034482999997
Archimede Morleo,Bari,33,Defender,70,66,68,68,72,60,54,61,9,14,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,1,0,0,3,0,0,3,0,5,3.4
Arda Turan,FC Barcelona,30,Midfielder,83,85,80,86,61,81,83,54,7,11,3,3,0,1,0,5,0,0,0,0,18,3.0555555556,2,3,0,5,0,7,0,0,0,0,18,2.2777777778
Aritz Aduriz,Athletic Club de Bilbao,36,Forward,73,79,52,82,23,86,73,46,10,9,16,1,0,8,0,5,0,0,0,0,32,4.1875,20,6,0,9,0,5,0,2,0,0,34,4.9705882353
Arjen Robben,FC Bayern Munich,33,Midfielder,84,92,71,89,39,85,83,29,8,15,13,9,0,0,0,9,0,0,0,0,26,5.3461538462,4,1,0,1,0,8,0,0,0,0,15,3.4
Arlind Ajeti,Crotone,23,Defender,54,42,52,53,67,31,46,69,10,12,1,0,0,0,0,1,0,0,8,1,4,1.25,1,0,4,5,1,1,0,0,28,0,16,1.8125
Arnold Bouka Moutou,Dijon FCO,28,Defender,69,67,58,72,68,58,49,73,6,13,0,0,1,3,0,0,0,0,20,0,10,0.9,2,0,4,2,0,4,0,0,23,1,23,2.4782608696
Arnold Mvuemba,FC Lorient,32,Midfielder,81,67,72,75,67,61,70,67,8,6,1,1,0,5,0,5,0,0,0,0,32,2.0625,0,0,0,0,0,1,0,0,0,0,6,1.5
Aron Johannsson,SV Werder Bremen,26,Forward,69,73,69,75,27,71,67,18,15,7,1,1,0,1,1,2,0,0,0,0,9,1.6666666666999999,2,0,0,0,0,5,0,0,0,0,6,3.5
Arouna Kone,Medicana Sivasspor,33,Forward,67,73,49,75,28,73,66,22,6,7,0,0,0,0,0,0,0,0,0,0,6,1.0,5,3,0,1,0,10,0,0,0,0,25,2.96
Artur Boruc,Bournemouth,37,Goalkeeper,25,14,34,18,25,17,40,13,73,82,0,0,9,2,0,0,2,0,63,0,35,2.2,0,0,7,1,0,0,2,0,51,0,32,2.34375
Artur Ionita,Cagliari,26,Midfielder,77,74,74,77,74,70,70,68,14,11,3,1,0,5,0,3,0,0,0,0,18,2.5,4,2,0,1,0,6,0,0,0,0,31,2.6774193548
Arturo Vidal,FC Bayern Munich,30,Midfielder,84,76,82,83,85,80,80,76,2,4,4,2,0,8,0,9,0,0,0,0,27,2.4444444444,4,5,0,3,0,10,0,0,0,0,30,2.8666666667
Ashley R Westwood,Burnley,27,Midfielder,76,65,79,77,70,54,76,62,13,8,0,0,0,3,0,2,0,0,0,0,9,1.3333333333,2,2,0,6,0,3,0,0,0,0,32,2.28125
